site_ref,site_name,site_lat,site_lon,site_alt,obs_source,obs_station_id,obs_station_url,obs_station_distance_m,obs_station_tier,obs_station_qc,obs_station_last_obs_epoch,generated_utc
pge:10060,Lanyon,-35.483880,149.107540,900,wu-pws,ICANBE500,https://www.wunderground.com/dashboard/pws/ICANBE500,824,nearby,1,1788797568,2026-09-08T22:24:16Z
pge:10096,Shelley Beach - Shelley Beach Launch,-35.105710,117.631010,85,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:10129,Kilcoy,-26.809700,152.602000,489,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:10171,Point Cartwright 'Carties',-26.674500,153.137000,17,wu-pws,ISUNSH961,https://www.wunderground.com/dashboard/pws/ISUNSH961,1857,nearby,-1,1788834176,2026-09-08T22:24:16Z
pge:10498,Wagga (80m dunes),-33.862400,121.674000,200,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:10625,Tunkalilla,-35.634200,138.315500,85,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:10714,Lake St Clair,-32.353500,151.312000,576,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:10715,Hooly Dooly,-32.520900,151.496000,231,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:10809,Long Reef NE,-33.741340,151.314850,30,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:10814,Cooks Terrace,-33.687450,151.309040,25,wu-pws,ISYDNE4395,https://www.wunderground.com/dashboard/pws/ISYDNE4395,781,nearby,-1,1788777088,2026-09-08T22:24:16Z
pge:10877,Pine Gap,-23.792500,133.540000,805,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:10969,Lorens,-31.774100,151.556000,924,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:11077,Forbes airfield,-33.361200,147.933000,233,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:11177,Tunbridge Tiers,-42.129000,147.275000,894,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:11371,Cape Jervis,-35.596100,138.106500,60,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:11480,Middle brother - SE,-31.701944,152.678611,548,wu-pws,IJOHNS39,https://www.wunderground.com/dashboard/pws/IJOHNS39,610,nearby,-1,1788769920,2026-09-08T22:24:16Z
pge:11482,Middle brother - SW,-31.707290,152.672270,548,wu-pws,IJOHNS39,https://www.wunderground.com/dashboard/pws/IJOHNS39,320,nearby,-1,1788769920,2026-09-08T22:24:16Z
pge:11487,Mt Blackheath - Main launch,-33.643730,150.244870,1040,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:11512,Strzelecki lookout,-32.936800,151.777000,75,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:11513,Merewether - Hickson Street Lookout,-32.953280,151.746420,82,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:11514,Dickson Park,-32.944400,151.762000,26,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:11516,Bombala St,-32.984100,151.727000,59,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:11571,Indian Head,-31.731600,152.797800,35,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:11661,don heads,-41.157500,146.314000,57,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:11665,Seaford,-35.192700,138.470000,16,wu-pws,IADELA2759,https://www.wunderground.com/dashboard/pws/IADELA2759,314,nearby,-1,1788846976,2026-09-08T22:24:16Z
pge:11710,Jeff Hoffman's,-35.260300,146.819000,233,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:11756,Johanna,-38.758000,143.367500,60,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:11893,Argalong,-35.308800,148.364000,765,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:11897,"Elizabeth Beach,  Booti Booti",-32.321200,152.532000,0,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:11906,Sand Patch,-35.065800,117.792000,220,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:11922,Boobs Airfield,-30.485500,150.530000,672,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:11944,Possum Shoot,-28.631900,153.509000,134,wu-pws,INEWSOUT1901,https://www.wunderground.com/dashboard/pws/INEWSOUT1901,764,nearby,1,1788780416,2026-09-08T22:24:16Z
pge:11970,Mt Stringybark,-27.594900,152.079000,428,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:11971,Mt. Widgee,-26.247600,152.361000,620,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:11972,Mt Storey,-27.458700,151.848000,635,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:11987,Hill 60,-34.491500,150.917300,60,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:12136,Mount Wellington,-42.893200,147.235000,1219,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:12137,Mt Belbora,-31.992700,152.173000,420,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:12138,Fitzy's Launch,-34.885800,147.574000,344,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:12158,Mt Cambewarra,-34.801500,150.580000,487,wu-pws,IBEAUM82,https://www.wunderground.com/dashboard/pws/IBEAUM82,1391,nearby,1,1788769408,2026-09-08T22:24:16Z
pge:12501,High Hells,-30.745900,150.727000,362,wu-pws,IMANIL6,https://www.wunderground.com/dashboard/pws/IMANIL6,1746,nearby,-1,1788848512,2026-09-08T22:24:16Z
pge:12502,Valley-Street,-30.330400,150.335000,753,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:12753,Khatabundah,-31.830100,152.356000,240,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:12789,Mount Wedge,-42.842900,146.293000,1010,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:12803,Dalby Aerodrome,-27.162474,151.264515,345,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:12857,Mount Roland,-41.458600,146.279000,977,wu-pws,,,,,,,2026-09-08T22:24:16Z
